"user_id";"name";"email";"password";"role";"created_at"
1;"Admin user";"admin@hospital.com";"admin@123";"admin";"2026-01-20 11:58:37"
2;"Dr. Kumar";"kumar@hospital.com";"password123";"doctor";"2026-01-20 13:58:02"
3;"Nurse Priya";"priya@hospital.com";"password123";"nurse";"2026-01-20 14:00:57"
4;"Ravi Kumar";"ravi@gmail.com";"pass123";"patient";"2026-01-26 11:27:08"
5;"Anita Sharma";"anita@gmail.com";"pass123";"patient";"2026-01-26 11:27:08"
6;"Suresh R";"suresh@gmail.com";"pass123";"patient";"2026-01-26 11:27:08"
7;"Priya M";"priya@gmail.com";"pass123";"patient";"2026-01-26 11:27:08"
8;"Dr. Arun";"arun@hospital.com";"doc123";"doctor";"2026-01-26 11:27:08"
9;"Dr. Meena";"meena@hospital.com";"doc123";"doctor";"2026-01-26 11:27:08"
10;"Nurse Kavya";"kavya@hospital.com";"nurse123";"nurse";"2026-01-26 11:27:08"
11;"Nurse Devi";"nurse.priya@hospital.com";"nurse123";"nurse";"2026-01-26 11:27:08"
